# Prior-league stats for players without Liiga history (researched from public sources).
# rate (goals/games) is translated to Liiga via data/league_factors.csv.
player_id,name,birth_year,season,league,games,goals,assists,position
,Aleksi Pakaslahti,2002,2026,Mestis,47,8,23,D
,Elias Ruusu,2001,2022,Liiga,2,0,0,D
,Elias Ruusu,2001,2023,Mestis,46,1,7,D
,Elias Ruusu,2001,2024,Mestis,33,1,9,D
,Elias Ruusu,2001,2025,France,44,5,14,D
,Elias Ruusu,2001,2026,France,34,3,10,D
,Jacob Hayhurst,1997,2022,ECHL,65,15,33,F
,Jacob Hayhurst,1997,2023,ECHL,25,10,12,F
,Jacob Hayhurst,1997,2024,ECHL,70,37,39,F
,Jacob Hayhurst,1997,2025,Allsvenskan,51,20,26,F
,Jacob Hayhurst,1997,2026,DEL,41,10,14,F
,Henrik Törnqvist,1996,2022,SHL,52,12,13,F
,Henrik Törnqvist,1996,2023,SHL,51,10,9,F
,Henrik Törnqvist,1996,2024,SHL,8,0,2,F
,Henrik Törnqvist,1996,2025,SHL,51,7,8,F
,Henrik Törnqvist,1996,2026,DEL,47,8,3,F
,Connor Corcoran,2000,2022,ECHL,41,20,17,D
,Connor Corcoran,2000,2023,ECHL,59,10,19,D
,Connor Corcoran,2000,2024,ECHL,45,8,15,D
,Connor Corcoran,2000,2025,AHL,44,2,8,D
,Connor Corcoran,2000,2026,ICEHL,47,11,18,D
,Mathias From,1997,2022,Allsvenskan,43,11,10,F
,Mathias From,1997,2023,Denmark,35,16,20,F
,Mathias From,1997,2024,Denmark,45,28,34,F
,Mathias From,1997,2025,ICEHL,46,21,20,F
,Mathias From,1997,2026,ICEHL,46,27,28,F
,Lukas Haudum,1997,2022,ICEHL,47,8,19,F
,Lukas Haudum,1997,2023,ICEHL,24,9,13,F
,Lukas Haudum,1997,2024,ICEHL,46,18,18,F
,Lukas Haudum,1997,2025,ICEHL,34,11,21,F
,Lukas Haudum,1997,2026,ICEHL,46,10,42,F
,Patrik Satosaari,2001,2023,NCAA,12,0,3,D
,Patrik Satosaari,2001,2024,NCAA,31,1,5,D
,Patrik Satosaari,2001,2025,NCAA,30,3,7,D
,Patrik Satosaari,2001,2026,NCAA,11,1,1,D
,Verner Miettinen,2003,2023,USHL,51,17,17,F
,Verner Miettinen,2003,2024,NCAA,38,4,19,F
,Verner Miettinen,2003,2025,NCAA,36,8,13,F
,Verner Miettinen,2003,2026,NCAA,27,4,8,F
,Hannu Kuru,1993,2022,Slovakia,53,13,19,F
,Hannu Kuru,1993,2023,Slovakia,42,6,20,F
,Hannu Kuru,1993,2024,Slovakia,46,14,21,F
,Hannu Kuru,1993,2025,Poland,31,20,40,F
,Hannu Kuru,1993,2026,Poland,38,18,34,F
,Eerik Wallenius,2006,2024,Liiga-U20,14,3,5,D
,Eerik Wallenius,2006,2025,Liiga-U20,39,4,18,D
,Eerik Wallenius,2006,2026,CHL,56,2,10,D
,Jasu Mensonen,2007,2025,Liiga-U20,50,8,24,F
,Jasu Mensonen,2007,2026,CHL,64,9,25,F
,Harri Pesonen,1988,2022,Switzerland,50,21,23,F
,Harri Pesonen,1988,2023,Switzerland,52,20,19,F
,Harri Pesonen,1988,2024,Switzerland,49,11,12,F
,Harri Pesonen,1988,2025,Switzerland,49,18,13,F
,Harri Pesonen,1988,2026,Switzerland,45,14,14,F
,Jere Sallinen,1990,2022,Switzerland,32,11,8,F
,Jere Sallinen,1990,2023,Switzerland,51,19,17,F
,Jere Sallinen,1990,2024,Switzerland,52,13,17,F
,Jere Sallinen,1990,2025,Switzerland,38,9,14,F
,Jere Sallinen,1990,2026,Switzerland,43,8,12,F
,Einar Emanuelsson,1997,2022,SHL,49,1,1,F
,Einar Emanuelsson,1997,2023,SHL,52,6,6,F
,Einar Emanuelsson,1997,2024,SHL,52,7,6,F
,Einar Emanuelsson,1997,2025,SHL,49,5,4,F
,Einar Emanuelsson,1997,2026,Switzerland,26,7,3,F
,Brendan Ranford,1992,2022,DEL,55,13,36,F
,Brendan Ranford,1992,2023,DEL,40,12,34,F
,Brendan Ranford,1992,2024,Slovakia,36,13,21,F
,Brendan Ranford,1992,2025,Slovakia,25,7,17,F
,Brendan Ranford,1992,2026,Slovakia,51,19,32,F
,Andrej Kukuca,1999,2022,Slovakia,50,11,12,F
,Andrej Kukuca,1999,2023,Slovakia,52,7,7,F
,Andrej Kukuca,1999,2024,Slovakia,50,20,12,F
,Andrej Kukuca,1999,2025,Slovakia,41,13,17,F
,Andrej Kukuca,1999,2026,Slovakia,53,13,10,F
,Oleksii Myklukha,2002,2022,CHL,62,20,27,F
,Oleksii Myklukha,2002,2023,Slovakia,29,1,15,F
,Oleksii Myklukha,2002,2024,Slovakia,46,12,21,F
,Oleksii Myklukha,2002,2025,Slovakia,38,3,12,F
,Oleksii Myklukha,2002,2026,Slovakia,51,17,38,F
,Lukas Pilö,1999,2022,SHL,52,3,11,D
,Lukas Pilö,1999,2023,SHL,52,2,12,D
,Lukas Pilö,1999,2024,Allsvenskan,52,1,10,D
,Lukas Pilö,1999,2025,SHL,31,1,6,D
,Lukas Pilö,1999,2026,SHL,39,0,4,D
,Max Krogdahl,1998,2022,Allsvenskan,49,1,14,D
,Max Krogdahl,1998,2023,Allsvenskan,46,0,3,D
,Max Krogdahl,1998,2024,Allsvenskan,46,3,11,D
,Max Krogdahl,1998,2025,Allsvenskan,38,0,2,D
,Max Krogdahl,1998,2026,SHL,39,2,9,D
,Joonas Lyytinen,1995,2022,Liiga,19,0,1,D
,Joonas Lyytinen,1995,2023,SHL,37,4,11,D
,Joonas Lyytinen,1995,2024,SHL,34,2,6,D
,Joonas Lyytinen,1995,2025,SHL,47,3,9,D
,Joonas Lyytinen,1995,2026,SHL,42,4,6,D
,Rasmus Rissanen,1991,2022,SHL,23,2,4,D
,Rasmus Rissanen,1991,2023,SHL,51,8,10,D
,Rasmus Rissanen,1991,2024,SHL,51,2,17,D
,Rasmus Rissanen,1991,2025,SHL,51,2,8,D
,Rasmus Rissanen,1991,2026,SHL,48,1,8,D
,Wiktor Nilsson,2002,2022,SHL,8,0,0,F
,Wiktor Nilsson,2002,2023,Allsvenskan,51,15,7,F
,Wiktor Nilsson,2002,2024,Allsvenskan,51,14,25,F
,Wiktor Nilsson,2002,2025,SHL,32,2,4,F
,Wiktor Nilsson,2002,2026,SHL,45,1,5,F
,Félix Robert,1999,2022,AHL,63,16,18,F
,Félix Robert,1999,2023,AHL,55,18,16,F
,Félix Robert,1999,2024,AHL,53,13,21,F
,Félix Robert,1999,2025,SHL,51,9,12,F
,Félix Robert,1999,2026,SHL,52,16,8,F
,Gabriel Fortier,2000,2022,AHL,72,14,21,F
,Gabriel Fortier,2000,2023,AHL,67,11,18,F
,Gabriel Fortier,2000,2024,AHL,62,13,13,F
,Gabriel Fortier,2000,2025,AHL,50,11,8,F
,Gabriel Fortier,2000,2026,SHL,44,6,10,F
,Michael Lindqvist,1994,2022,SHL,26,9,7,F
,Michael Lindqvist,1994,2023,SHL,50,14,13,F
,Michael Lindqvist,1994,2024,SHL,50,13,17,F
,Michael Lindqvist,1994,2025,SHL,45,8,14,F
,Michael Lindqvist,1994,2026,SHL,31,6,19,F
,Ethan De Jong,1999,2022,NCAA,42,11,21,F
,Ethan De Jong,1999,2023,NCAA,41,19,21,F
,Ethan De Jong,1999,2024,ECHL,41,11,18,F
,Ethan De Jong,1999,2025,AHL,52,2,8,F
,Ethan De Jong,1999,2026,Allsvenskan,51,17,17,F
,Connor MacEachern,1999,2022,NCAA,36,14,14,F
,Connor MacEachern,1999,2023,NCAA,39,12,15,F
,Connor MacEachern,1999,2024,ECHL,15,2,5,F
,Connor MacEachern,1999,2025,ECHL,41,23,17,F
,Connor MacEachern,1999,2026,Allsvenskan,41,14,24,F
,Hugo Gabrielson,2002,2022,Allsvenskan,40,0,3,D
,Hugo Gabrielson,2002,2023,Allsvenskan,35,0,6,D
,Hugo Gabrielson,2002,2024,Allsvenskan,47,5,10,D
,Hugo Gabrielson,2002,2025,Allsvenskan,44,5,21,D
,Hugo Gabrielson,2002,2026,Allsvenskan,48,11,21,D
,Jesper Olofsson,1993,2022,Switzerland,43,25,25,F
,Jesper Olofsson,1993,2023,Switzerland,48,21,22,F
,Jesper Olofsson,1993,2024,Switzerland,36,10,11,F
,Jesper Olofsson,1993,2025,SHL,49,13,19,F
,Jesper Olofsson,1993,2026,Allsvenskan,45,15,14,F
,Liam Hawel,1999,2022,OTHER,24,18,19,F
,Liam Hawel,1999,2023,OTHER,26,16,23,F
,Liam Hawel,1999,2024,OTHER,28,12,25,F
,Liam Hawel,1999,2025,Allsvenskan,52,8,23,F
,Liam Hawel,1999,2026,Allsvenskan,51,13,32,F
,Eric Bürger,2005,2022,SWE-U20,11,0,2,D
,Eric Bürger,2005,2023,SWE-U20,39,1,8,D
,Eric Bürger,2005,2024,SWE-U20,46,7,19,D
,Eric Bürger,2005,2025,SWE-U20,29,5,12,D
,Eric Bürger,2005,2026,Allsvenskan,52,2,7,D
,George Diaco,2002,2022,CHL,68,27,43,F
,George Diaco,2002,2023,CHL,66,28,48,F
,George Diaco,2002,2024,OTHER,15,8,17,F
,George Diaco,2002,2025,Allsvenskan,39,20,14,F
,George Diaco,2002,2026,Allsvenskan,52,25,29,F
,Rasmus Tallqvist,2004,2023,Liiga-U20,21,14,14,F
,Rasmus Tallqvist,2004,2024,Liiga-U20,14,13,6,F
,Eeli Salovaara,2005,2024,Liiga-U20,7,7,3,F
,Eeli Salovaara,2005,2025,Liiga-U20,44,11,11,F
,Eeli Salovaara,2005,2026,Liiga-U20,23,14,16,F
,Matti Butkovskiy,2006,2024,Liiga-U20,20,17,12,F
,Matti Butkovskiy,2006,2025,Liiga-U20,33,11,20,F
,Matti Butkovskiy,2006,2026,USHL,9,3,6,F
,Viljo Kähkönen,2008,2024,Liiga-U20,6,0,5,F
,Viljo Kähkönen,2008,2025,Liiga-U20,38,3,13,F
,Viljo Kähkönen,2008,2026,Liiga-U20,38,7,15,F
,Aapo Vanninen,2007,2025,SWE-U20,46,8,13,F
,Aapo Vanninen,2007,2026,SWE-U20,36,18,20,F
,Joonas Rajala,2007,2025,Liiga-U20,51,10,16,F
,Joonas Rajala,2007,2026,Liiga-U20,25,16,13,F
,Max Laatikainen,2008,2025,Liiga-U20,39,5,7,D
,Max Laatikainen,2008,2026,Liiga-U20,10,3,8,D
,Ville Väärälä,2006,2025,Liiga-U20,43,11,10,F
,Ville Väärälä,2006,2026,USHL,59,6,8,F
,Daniil Trakht,2003,2022,Liiga-U20,17,9,12,F
,Daniil Trakht,2003,2023,Liiga-U20,19,12,13,F
,Daniil Trakht,2003,2024,Liiga-U20,30,22,19,F
,Daniil Trakht,2003,2025,Liiga-U20,49,26,28,F
,Daniil Trakht,2003,2026,Mestis,38,8,14,F
,Jirko Tukiainen,2005,2025,Liiga-U20,53,4,16,D
,Jirko Tukiainen,2005,2026,Mestis,36,3,8,D
,Eetu Koivistoinen,1995,2022,Liiga,60,22,26,F
,Eetu Koivistoinen,1995,2023,Liiga,71,21,24,F
,Eetu Koivistoinen,1995,2024,Liiga,54,19,18,F
,Eetu Koivistoinen,1995,2025,SHL,51,7,3,F
,Eetu Koivistoinen,1995,2026,SHL,50,5,6,F
,Heikki Liedes,1993,2022,Liiga,60,20,14,F
,Heikki Liedes,1993,2023,Liiga,60,20,19,F
,Heikki Liedes,1993,2024,Liiga,59,18,14,F
,Heikki Liedes,1993,2025,Liiga,60,18,21,F
,Heikki Liedes,1993,2026,SHL,50,2,5,F
,Peetro Seppälä,2000,2022,Liiga,57,8,21,D
,Peetro Seppälä,2000,2023,AHL,70,1,11,D
,Peetro Seppälä,2000,2024,AHL,49,1,10,D
,Peetro Seppälä,2000,2025,SHL,54,3,14,D
,Peetro Seppälä,2000,2026,SHL,51,1,9,D
32915134,Aleksi Antti-Roiko,,2023,Mestis,48,22,38,F
21403877,Aleksi Elorinne,,2023,France,40,4,13,D
21403877,Aleksi Elorinne,,2026,Mestis,43,4,5,D
30984675,Aleksi Matinmikko,,2023,Mestis,42,13,40,D
31275998,Alexander Forslund,,2023,Mestis,20,5,17,F
31275998,Alexander Forslund,,2024,Mestis,48,8,47,F
31275998,Alexander Forslund,,2025,Mestis,49,14,21,F
31275998,Alexander Forslund,,2026,Mestis,49,15,52,F
21499603,Anrei Hakulinen,,2024,DEL,47,21,18,F
21499603,Anrei Hakulinen,,2025,DEL,46,8,24,F
30687613,Antti Saarela,,2024,AHL,27,5,1,F
34250949,Balazs Sebok,,2024,DEL,49,10,12,F
34250949,Balazs Sebok,,2025,ICEHL,33,11,16,F
34254136,Charles Bertrand,,2023,DEL,44,16,19,F
34254136,Charles Bertrand,,2024,DEL,50,5,11,F
34254136,Charles Bertrand,,2025,DEL,34,8,5,F
40003574,Eetu Liukas,,2024,AHL,47,3,4,F
40003574,Eetu Liukas,,2025,AHL,52,6,5,F
40003574,Eetu Liukas,,2026,AHL,24,4,6,F
33863780,Elias Koponen,,2025,Mestis,49,15,25,F
33863780,Elias Koponen,,2026,Mestis,35,17,22,F
30712591,Henri Nikkanen,,2023,AHL,66,5,11,F
30712591,Henri Nikkanen,,2024,AHL,57,7,5,F
21468906,Henrik Haapala,,2024,Switzerland,29,7,11,F
21468906,Henrik Haapala,,2025,SHL,57,5,15,F
24650025,Iikka Kangasniemi,,2024,Czechia,43,4,17,F
33502478,Jeremi Tammela,,2023,Liiga-U20,29,21,35,F
33502478,Jeremi Tammela,,2024,Liiga-U20,37,24,51,F
32551174,Jesper Ahlroth,,2022,Liiga-U20,9,2,8,D
32551174,Jesper Ahlroth,,2024,Liiga,12,0,0,D
34601572,Jiri Pärssinen,,2022,Liiga-U20,23,13,15,D
34601572,Jiri Pärssinen,,2023,Mestis,5,0,0,D
34601572,Jiri Pärssinen,,2025,Mestis,45,2,19,D
33150613,Joni Jurmo,,2025,AHL,17,0,0,D
29028513,Joona Ikonen,,2025,SHL,49,8,9,F
29028513,Joona Ikonen,,2026,SHL,52,2,6,F
40046437,Juho Järvelä,,2023,Liiga,3,0,0,F
40046437,Juho Järvelä,,2025,Mestis,17,5,6,F
40046437,Juho Järvelä,,2026,Mestis,39,9,14,F
24501132,Jyrki Jokipakka,,2022,KHL,31,3,11,D
24501132,Jyrki Jokipakka,,2024,DEL,52,5,16,D
24501132,Jyrki Jokipakka,,2025,DEL,51,5,13,D
30730803,Kalle Loponen,,2024,Allsvenskan,37,2,4,D
40005288,Karri Aho,,2022,Mestis,20,2,3,D
40005288,Karri Aho,,2025,Liiga,6,0,0,D
31046431,Kim Nousiainen,,2023,AHL,37,2,4,D
31046431,Kim Nousiainen,,2024,AHL,52,0,9,D
60540148,Leo Lööf,,2024,AHL,58,0,7,D
60540148,Leo Lööf,,2025,AHL,63,0,17,D
60540148,Leo Lööf,,2026,AHL,47,2,4,D
60544772,Lukas Jasek,,2024,Allsvenskan,49,14,14,F
60544772,Lukas Jasek,,2025,Allsvenskan,52,8,10,F
21851458,Matti Järvinen,,2024,Czechia,42,6,14,F
22148966,Mikko Kousa,,2023,DEL,52,5,19,D
22148966,Mikko Kousa,,2024,Slovakia,32,2,14,D
21926286,Miro Karjalainen,,2023,Liiga,1,0,0,D
31905381,Miro Nalli,,2025,Mestis,45,7,10,F
31905381,Miro Nalli,,2026,Mestis,35,7,9,F
23837234,Niklas Friman,,2023,SHL,51,3,7,D
23837234,Niklas Friman,,2026,Switzerland,31,1,2,D
29635278,Niklas Virtanen,,2022,Mestis,44,4,6,F
29635278,Niklas Virtanen,,2023,Mestis,39,18,13,F
29635278,Niklas Virtanen,,2025,CHL,6,0,0,F
32701115,Niko Huuhtanen,,2022,CHL,65,37,40,F
32701115,Niko Huuhtanen,,2025,AHL,51,8,12,F
32701115,Niko Huuhtanen,,2026,Switzerland,10,2,1,F
32509715,Oliver Suni,,2024,Liiga,10,0,0,F
32509715,Oliver Suni,,2025,Mestis,46,7,36,F
32509715,Oliver Suni,,2026,Mestis,42,18,31,F
60580517,Oskars Batna,,2025,Czechia,46,10,7,F
28262723,Patrik Virta,,2024,DEL,43,9,11,F
27900714,Petrus Palmu,,2023,SHL,41,1,8,F
33296797,Riku Tuomola,,2024,Mestis,48,7,21,D
33296797,Riku Tuomola,,2025,Mestis,49,12,31,D
33296797,Riku Tuomola,,2026,Mestis,48,10,34,D
32269686,Roni Hirvonen,,2024,AHL,37,7,6,F
32269686,Roni Hirvonen,,2025,AHL,59,10,11,F
29948541,Tarmo Reunanen,,2022,AHL,48,3,17,D
29948541,Tarmo Reunanen,,2025,Czechia,61,5,31,D
28506900,Tommi Tikka,,2024,SHL,45,2,7,F
28506900,Tommi Tikka,,2025,SHL,38,1,6,F
30738423,Toni Utunen,,2025,Liiga,36,2,8,D
60823918,Trent Bourque,,2022,ECHL,15,1,3,D
60823918,Trent Bourque,,2023,DEL,36,2,4,D
60823918,Trent Bourque,,2025,Slovakia,54,3,20,D
40009767,Valtteri Pulli,,2024,AHL,59,3,7,D
40009767,Valtteri Pulli,,2025,Switzerland,20,1,4,D
40009767,Valtteri Pulli,,2026,SHL,30,1,3,D
25334515,Valtteri Viljanen,,2024,SHL,36,1,5,D
40272721,Veeti Väisänen,,2023,Liiga-U20,37,3,19,D
40272721,Veeti Väisänen,,2025,CHL,58,4,20,D
40272721,Veeti Väisänen,,2026,CHL,47,6,17,D
33254027,Vili Alitalo,,2022,Liiga-U20,42,8,7,F
33254027,Vili Alitalo,,2023,Liiga-U20,34,11,15,F
33254027,Vili Alitalo,,2025,Mestis,11,5,1,F
24727725,Ville Lajunen,,2023,DEL,56,10,35,D
24727725,Ville Lajunen,,2024,DEL,52,6,23,D
24727725,Ville Lajunen,,2026,Czechia,45,6,16,D
,Austin Strand,,2022,AHL,32,3,4,D
,Austin Strand,,2023,AHL,55,2,7,D
,Austin Strand,,2024,AHL,48,6,8,D
,Austin Strand,,2025,AHL,60,3,15,D
,Austin Strand,,2026,AHL,49,4,12,D
,Simon Åkerström,,2022,Allsvenskan,50,2,14,D
,Simon Åkerström,,2023,Allsvenskan,44,9,13,D
,Simon Åkerström,,2024,Allsvenskan,50,11,21,D
,Simon Åkerström,,2025,Allsvenskan,52,12,25,D
,Simon Åkerström,,2026,Allsvenskan,48,5,32,D
,Kalle Östman,,2022,SHL,44,3,10,F
,Kalle Östman,,2023,SHL,49,14,16,F
,Kalle Östman,,2024,SHL,50,15,12,F
,Kalle Östman,,2025,SHL,45,12,12,F
,Kalle Östman,,2026,SHL,41,6,5,F
,Jake Leschyshyn,,2022,AHL,34,14,13,F
,Jake Leschyshyn,,2023,AHL,18,5,10,F
,Jake Leschyshyn,,2024,AHL,47,8,11,F
,Jake Leschyshyn,,2025,AHL,69,13,11,F
,Jake Leschyshyn,,2026,AHL,66,13,9,F
,Matt Caito,,2022,SHL,49,3,21,D
,Matt Caito,,2023,SHL,52,5,19,D
,Matt Caito,,2024,SHL,40,5,18,D
,Matt Caito,,2025,SHL,52,5,12,D
,Matt Caito,,2026,SHL,50,4,7,D
,Arvid Costmar,,2022,SHL,48,3,4,F
,Arvid Costmar,,2023,SHL,52,2,7,F
,Arvid Costmar,,2024,SHL,40,5,5,F
,Arvid Costmar,,2024,Allsvenskan,12,2,3,F
,Arvid Costmar,,2025,Allsvenskan,41,11,18,F
,Arvid Costmar,,2026,SHL,29,0,1,F
,Arvid Costmar,,2026,Allsvenskan,5,2,0,F
,Richard Zemlicka,,2026,USHL,29,6,6,F
,Olle Strandell,,2022,Allsvenskan,42,2,0,D
,Olle Strandell,,2023,Allsvenskan,51,6,22,D
,Olle Strandell,,2024,SHL,12,0,0,D
,Olle Strandell,,2025,Allsvenskan,5,0,1,D
,Olle Strandell,,2025,SHL,38,1,3,D
,Olle Strandell,,2026,SHL,52,5,14,D
,William Wiå,,2022,Allsvenskan,51,11,3,F
,William Wiå,,2023,Allsvenskan,52,5,11,F
,William Wiå,,2024,Allsvenskan,52,5,5,F
,William Wiå,,2025,Allsvenskan,47,4,9,F
,William Wiå,,2026,Allsvenskan,52,13,12,F
,William Wiå,,2026,SHL,2,0,1,F
,Alexandre Doucet,,2024,AHL,6,0,0,F
,Alexandre Doucet,,2025,AHL,64,7,14,F
,Alexandre Doucet,,2026,AHL,52,8,6,F
,Teemu Turunen,1995,2026,SHL,29,7,7,F
,Carl-Johan Lerby,,2025,Allsvenskan,46,10,22,D
,Carl-Johan Lerby,,2026,Allsvenskan,33,6,14,D
,Carl-Johan Lerby,,2026,SHL,1,0,0,D
,Rasmus Tallqvist,,2026,Liiga-U20,42,27,19,F
,Eemil Laurell,,2026,Liiga-U20,21,20,9,F
,Oskari Manninen,,2026,Mestis,34,2,6,D
,Miks Tumanovs,,2026,Slovakia,9,2,0,D
,Miks Tumanovs,,2026,Mestis,34,5,6,D
,Aleksi Mustonen,,2026,Mestis,47,14,25,F
,Jere Henriksson,,2026,Mestis,31,16,13,F
,Andrej Sustr,,2026,AHL,11,0,1,D
,Andrej Sustr,,2026,Allsvenskan,20,1,4,D
,Otto Jaatinen,,2026,Mestis,42,6,29,F
,Kasper Kotkansalo,,2026,SHL,21,0,0,D
,Kasper Kotkansalo,,2026,ICEHL,17,2,8,D
,Axel Holmström,,2026,Czechia,26,6,6,F
,Lars Bryggman,,2026,SHL,47,10,11,F
,Linus Öberg,2000,2022,SHL,52,17,9,F
,Linus Öberg,2000,2023,SHL,51,13,10,F
,Linus Öberg,2000,2024,SHL,52,10,7,F
,Linus Öberg,2000,2025,SHL,52,7,3,F
,Linus Öberg,2000,2026,SHL,52,13,5,F
,Vertti Haikala,2006,2023,Liiga-U20,4,0,0,F
,Vertti Haikala,2006,2024,Liiga-U20,17,3,1,F
,Vertti Haikala,2006,2025,Liiga-U20,31,5,9,F
,Vertti Haikala,2006,2026,Liiga-U20,37,9,14,F
